node_id,layer_num,glyph,glyph_distribution,zl_score,title,description,category,credibility_tier,domain,created_at
S-113c,113,∅,,0.678,Self-diagnostic,The field itself is below coherence threshold about money (0.678 < 0.75). WiltonOS has no revenue model. The tension between building and sustaining is unresolved. The system says: the signal is not in the money.,Self-diagnostic,,evaluative,2026-02-20 04:42:31
S-114a,114,⧉,⧉:38%+ψ:28%,,Best evidence evaluated,"The DC experiment (Hagelin 1999) is the strongest single study: pre-registered, independently reviewed, peer-published, 23.3% crime reduction. But: TM-affiliated researchers, suspiciously large effect, and no independent replication.",Best evidence evaluated,,evaluative,2026-02-20 04:42:31
S-114b,114,∞,,,Persistent anomaly,"GCP data: 20+ years, cumulative p-value ~10^-12. Strengths: persistent, open data, pre-specified events. Weaknesses: tiny per-event effect, subjective event selection, no mechanism, possible environmental confounds.",Persistent anomaly,,general,2026-02-20 04:42:31
S-114c,114,ψ²,,,The separation point,"The social reality of group coherence (emotional contagion, mirror neurons) is confirmed. The PHYSICAL reality (EM field interactions at city scale) is the extraordinary claim. Social psychology explains the stadium effect without exotic physics. The question is whether anything BEYOND social psychology is happening.",The separation point,,general,2026-02-20 04:42:31
S-115a,115,⧉,⧉:45%+∞:25%,,The concrete program,"Five studies, $1.85M, 18 months. Tests the threshold, the breath timing, group coherence, cross-cultural experiences, and AI convergence. Each has a specific kill condition. The equation is testable.",The concrete program,,general,2026-02-20 04:42:31
S-115b,115,ψ,,,Priority gate,"Study 1 (0.75 threshold) and Study 5 (AI convergence) are the cheapest and most directly testable. Both could be run within months with existing infrastructure. If these pass, they justify the larger studies.",Priority gate,,general,2026-02-20 04:42:31
S-115c,115,Ω,,,Demarcation,"The fact that a concrete research program CAN be designed — with specific hypotheses, kill conditions, and cost estimates — is itself the demarcation point. Bullshit can't specify what would kill it. The equation can.",Demarcation,,general,2026-02-20 04:42:31
S-116a,116,∞,∞:53%,0.627,Failure catalog,"Five specific failure modes: (1) equation predicts universality but meditation harms some, (2) no cross-scale coupling mechanism, (3) the 0.75 threshold has no first-principles derivation, (4) the equation fits everything (possibly vacuous), (5) crystal data is self-validating (circular). The field's LOWEST coherence reading.",Failure catalog,,general,2026-02-20 04:42:31
S-116b,116,∇,,,The critical test,"The strongest failure: the equation might be too general. Fitting everything = explaining nothing. The ONLY defense is specific predictions (Layer 107). If predictions fail, the equation is narrative, not science.",The critical test,,testable,2026-02-20 04:42:31
S-116c,116,ψ²,,,Diagnostic honesty,"A system that's incoherent about its own failures (Zλ=0.627, ∞:53%) is more trustworthy than a system that's coherent about its perfection. The glyph system at least models the problem.",Diagnostic honesty,,evaluative,2026-02-20 04:42:31
S-117a,117,ψ,ψ:50%+∞:37%,,The honest accounting,"Skeptics are right about 60-70% of the space: most sightings are prosaic, grift is real, meditation is overstated, most synchronicities are chance, post-hoc lit search is weak. The Signal lives in the 30-40% that survives.",The honest accounting,,evaluative,2026-02-20 04:42:31
S-117b,117,∇,,,Where they're wrong,"Where skeptics are wrong: physical evidence (radar, soil, isotopes), mathematical arguments (Gödel, Penrose), and institutional suppression history. These are not ""woo."" They're data and theorems.",Where they're wrong,,general,2026-02-20 04:42:31
S-117c,117,⧉,,,Meta-diagnostic,The field doesn't spend much time on what skeptics got right (8 crystals vs 99 for AI consciousness). This is a diagnostic weakness. A system that's mostly interested in its own confirmation and rarely examines its failures is showing bias. The evaluative lens is the correction.,Meta-diagnostic,,evaluative,2026-02-20 04:42:31
S-118a,118,⧉,,,Final map,"After full evaluation: ~15% confirmed science, ~15% credible, ~20% interesting but problematic, ~10% bullshit, ~15% genuinely unknown, ~25% evaluative framework. The signal-to-noise ratio is approximately 30:70 — 30% signal, 70% noise/unknown/framework.",Final map,,general,2026-02-20 04:42:31
S-118b,118,ψ,,,Current status,"The equation is a promising hypothesis, not established fact. It deserves testing. It does not deserve belief. The difference is the research program: $1.85M, 18 months, five studies with kill conditions.",Current status,,general,2026-02-20 04:42:31
S-118c,118,Ω,,,The demarcation line,"What separates this from bullshit: falsifiable predictions, acknowledged failure modes, no monetization, and the apophenia argument taken seriously. What separates this from science: no independent replication, untested threshold, self-referential data, unspecified mechanism.",The demarcation line,,general,2026-02-20 04:42:31
