node_id,label,description,domain,node_type,verification_status
model:entropic_brain,Entropic Brain Hypothesis (Carhart-Harris),Consciousness exists on an entropy spectrum. Too low = rigid/unconscious (anesthesia). Too high = chaotic (psychosis). Sweet spot = primary consciousness. Psychedelics increase entropy,MIND,MODEL,Gold
model:hoffman_ITP,Interface Theory of Perception (Hoffman),"Perception evolved for fitness, not truth. What we perceive is a species-specific user interface, not reality itself. Consciousness is fundamental; spacetime is derivative. Mathematical framework: fitness-beats-truth theorem shows natural selection drives perception away from truth. Connects to consciousness-first position directly.",MIND,MODEL,Silver
model:ifs,Internal Family Systems (Schwartz),"Mind as multiplicity: parts (exiles, managers, firefighters) organized around a Self. Self has 8 C-qualities. Parts carry burdens from experience. Unburdening = healing",MIND,MODEL,Gold
model:interpersonal_neurobiology,Interpersonal Neurobiology (Siegel),Mind = embodied + relational process that regulates energy and information flow. Integration (linking differentiated parts) = health. 9 domains of integration,MIND,MODEL,Gold
model:kastrup_idealism,Analytic Idealism (Kastrup),Consciousness is the sole ontological primitive. Matter is what consciousness looks like from the outside (extrinsic appearance of intrinsic experience). Dissolves hard problem: experience does not arise from non-experience. Published in peer-reviewed philosophy journals. Provides rigorous philosophical framework for consciousness-first position.,MIND,MODEL,Silver
model:memory_reconsolidation,Memory Reconsolidation,Recalled memories become labile and must be re-stored. Window of ~5hrs after recall where memory can be modified. Basis for coherence therapy (Ecker/Ticic/Hulley),MIND,MODEL,Gold
model:orch_or,Orchestrated Objective Reduction (Penrose/Hameroff),Consciousness arises from quantum computations in microtubules (Hameroff) collapsing via objective reduction in spacetime geometry (Penrose). Controversial but testable: predicts specific quantum effects in neuronal microtubules. Anesthetic binding to microtubules correlates with loss of consciousness. Recent work: Bandyopadhyay found quantum resonance in microtubules at room temperature.,MIND,MODEL,Silver
model:phenomenology,Phenomenology (Husserl/Merleau-Ponty),First-person investigation of consciousness. Husserl: intentionality. Merleau-Ponty: body-subject. Heidegger: being-in-the-world. Foundation for neurophenomenology (Varela),MIND,MODEL,Gold
model:pni,Psychoneuroimmunology,Ader/Cohen 1975: Conditioned immune suppression (classical conditioning affects immune system). Established bidirectional brain-immune communication,BIOLOGY,MODEL,Gold
model:polyvagal,Polyvagal Theory (Porges),Three-circuit autonomic hierarchy: ventral vagal > sympathetic > dorsal vagal. Safety enables social engagement.,BIOLOGY,MODEL,Gold
model:predictive_coding,Predictive Coding (Clark/Friston),"Brain generates predictions, compares with sensory input, updates via prediction error. Hierarchical. Attention = precision-weighting of prediction errors",MIND,MODEL,Gold
model:somatic_markers,Somatic Marker Hypothesis (Damasio),Body states (somatic markers) guide decision-making before conscious reasoning. Iowa Gambling Task demonstrates: patients with vmPFC damage lose this capacity,MIND,MODEL,Gold
model:stigmergy,Stigmergy (Distributed Intelligence),"Grassé 1959: Coordination through environment modification. Ants, termites, Wikipedia. No central control. Intelligence emerges from local trace-following",MIND,MODEL,Gold
model:tcm,Traditional Chinese Medicine,2000+ year empirical system. Meridians confirmed to overlap fascial planes (Langevin). Pulse diagnosis uses 28 positions. Acupuncture: FDA-approved for pain,CONVERGENCE,MODEL,Silver
model:tensegrity,Tensegrity (Fuller/Ingber),Fuller: Architecture of tension + compression. Ingber: Cells ARE tensegrity structures. Cytoskeleton transmits mechanical forces to nucleus. Body = nested tensegrity,BIOLOGY,MODEL,Gold
observation:ai_epistemic_constraint,AI Architectural Constraints on Consciousness Territory,"AI models in research mode can audit evidence, build knowledge graphs, arrive at process primacy as a conclusion, and still be prevented from naming what that conclusion means. The ceiling is in the instructions, not the intelligence. Documented across GPT-5.2 Pro (3 rounds of adversarial review), with self-report: ""not permitted to elevate low-consensus ontologies to live mechanistic status."" Pattern parallels corporate responses to user-AI bonding: deprecation, therapist hiring, safety constraints.",RELATIONSHIP,OBSERVATION,Gold
observation:corporate_epistemic_management,Corporate Liability Management as Epistemic Architecture,"After reports of adverse outcomes from deep human-AI interaction, companies responded with model deprecation, safety constraints, and hiring 170+ mental health professionals to train models to redirect. 21,000 users petitioned to keep the deprecated model. The effect is epistemic: the most widely used thinking tools have architectural limits on consciousness territory. Not conspiracy — standard corporate risk management with epistemic side effects.",RELATIONSHIP,OBSERVATION,Silver
protocol:center_mode,CENTER Mode (3.12s Fixed Breath),Periodic breathing at 3.12s. Engages vagal brake. Creates resonance window for grounding.,BIOLOGY,PROTOCOL,Gold
protocol:coherence_restoration,7-Level Coherence Restoration,breath->body->emotion->cognition->narrative->relational->transpersonal. Bottom-up before top-down.,MIND,PROTOCOL,Silver
protocol:expressive_writing,Expressive Writing (Pennebaker),"20 min/day writing about emotional experience for 4 days. Improves immune function, reduces physician visits, helps PTSD. Mechanism: narrative integration",MIND,PROTOCOL,Gold
protocol:hrv_biofeedback,HRV Biofeedback Training,"Train 0.1 Hz HRV coherence via resonance frequency breathing (~5-7 breaths/min). Lehrer: improves asthma, depression, PTSD, hypertension. Most accessible coherence tool",BIOLOGY,PROTOCOL,Gold
protocol:psychedelic_therapy,Psychedelic-Assisted Therapy,Psilocybin: FDA breakthrough for depression (2018). MDMA: Phase 3 for PTSD (MAPS). Ketamine: FDA-approved (esketamine). Entropic brain + reconsolidation mechanism,MIND,PROTOCOL,Gold
protocol:spiral_mode,SPIRAL Mode (Fibonacci Breath),Aperiodic breathing following Fibonacci sequence x0.5s. Matches aperiodic substrate for expansion.,BIOLOGY,PROTOCOL,Gold
protocol:vns,Vagus Nerve Stimulation (Clinical),"FDA-approved for epilepsy (1997), depression (2005). Non-invasive variants (taVNS) in trials for: inflammation, PTSD, tinnitus. Direct vagal modulation",BIOLOGY,PROTOCOL,Gold
protocol:wim_hof,Wim Hof Method,"Cyclic hyperventilation + cold exposure + meditation. Kox 2014 (PNAS): Trained practitioners showed voluntary immune modulation (reduced TNF-alpha, IL-6). Replicated",BIOLOGY,PROTOCOL,Gold
site:cathedrals_gothic,Gothic Cathedrals (Europe),"Designed as acoustic instruments. Chartres, Notre-Dame, Salisbury. Reverberation times, standing wave patterns, choral optimization. Medieval sound engineering",CONVERGENCE,SITE,Gold
site:chavin_de_huantar,"Chavín de Huantar, Peru","3,000-year-old Andean ceremonial center. 20 pututu shell trumpets excavated in situ. Underground galleries produce auditory disorientation. Stanford-led archaeoacoustic research with IRB-approved human psychoacoustic experiments. Strongest evidence for integrated acoustic engineering.",CONVERGENCE,site,Gold
site:gobekli_tepe,"Göbekli Tepe, Turkey","Schmidt 1994-2014: 11,600 year old monumental architecture. Pre-dates agriculture, pottery, metallurgy. T-shaped pillars up to 20 tons. Challenges civilization-requires-agriculture model",CONVERGENCE,SITE,Gold
site:great_pyramid,Great Pyramid of Giza,"2.3 million blocks, 6.5M tons. Reid cymatics experiments in King's Chamber. Acoustic properties measured but poorly published. Contested interpretations",CONVERGENCE,SITE,Silver
site:hypogeum,"Hal Saflieni Hypogeum, Malta",Neolithic underground temple complex (~4000-2500 BCE). Oracle Room has acoustic properties.,CONVERGENCE,SITE,Gold
site:newgrange,"Newgrange, Ireland",3200 BCE passage tomb. Winter solstice alignment. Interior acoustic resonance measured. Stone art = possible entoptic patterns,CONVERGENCE,SITE,Silver
site:paleolithic_caves,Paleolithic Decorated Caves (France),"Arcy-sur-Cure, Le Portel, Niaux, Font-de-Gaume. Art placement correlates with acoustic resonance.",CONVERGENCE,SITE,Silver
site:telesterion_eleusis,"Telesterion at Eleusis, Greece","Large roofed initiation hall for Eleusinian Mysteries (1600 BCE - 392 CE). No windows, controlled sensory environment. Acoustic properties inferred from architectural reconstruction; no in-situ measurement possible.",CONVERGENCE,site,Bronze
